"restaurant_name","city","restaurant_type","swiggy_rating","zomato_rating","rating_gap","better_rated"
"Restaurant_1628","Hyderabad","Casual Dining","4.3","2.5","1.8","Swiggy higher"
"Restaurant_2370","Jaipur","Cloud Kitchen","2.5","4.3","1.8","Zomato higher"
"Restaurant_411","Mumbai","Cloud Kitchen","3.1","4.9","1.8","Zomato higher"
"Restaurant_1729","Hyderabad","Fine Dine","3.4","5.0","1.6","Zomato higher"
"Restaurant_1002","Delhi","Cafe","2.7","4.3","1.6","Zomato higher"
"Restaurant_553","Bangalore","Fine Dine","4.7","3.1","1.6","Swiggy higher"
"Restaurant_279","Mumbai","Qsr (Quick Service)","3.2","4.8","1.6","Zomato higher"
"Restaurant_461","Bangalore","Cloud Kitchen","2.9","4.5","1.6","Zomato higher"
"Restaurant_113","Mumbai","Qsr (Quick Service)","5.0","3.5","1.5","Swiggy higher"
"Restaurant_1500","Pune","Cloud Kitchen","3.3","4.8","1.5","Zomato higher"
"Restaurant_1849","Chennai","Cloud Kitchen","2.8","4.3","1.5","Zomato higher"
"Restaurant_2025","Kolkata","Casual Dining","2.6","4.1","1.5","Zomato higher"
"Restaurant_1032","Delhi","Food Truck","3.4","4.9","1.5","Zomato higher"
"Restaurant_762","Bangalore","Qsr (Quick Service)","3.2","4.7","1.5","Zomato higher"
"Restaurant_2035","Kolkata","Casual Dining","3.2","4.6","1.4","Zomato higher"
"Restaurant_1721","Hyderabad","Qsr (Quick Service)","4.6","3.2","1.4","Swiggy higher"
"Restaurant_1896","Chennai","Fine Dine","3.3","4.7","1.4","Zomato higher"
"Restaurant_1246","Delhi","Fine Dine","5.0","3.6","1.4","Swiggy higher"
"Restaurant_1200","Delhi","Casual Dining","5.0","3.6","1.4","Swiggy higher"
"Restaurant_1537","Hyderabad","Cloud Kitchen","3.5","4.9","1.4","Zomato higher"
"Restaurant_134","Mumbai","Fine Dine","4.8","3.4","1.4","Swiggy higher"
