"restaurant_name","city","restaurant_type","cuisines","swiggy_rev","zomato_rev","total_revenue"
"Restaurant_99","Mumbai","Cloud Kitchen","Street Food",413475,464880,878355
"Restaurant_2414","Lucknow","Cloud Kitchen","Japanese",399672,449569,849241
"Restaurant_811","Bangalore","Cloud Kitchen","South Indian; Fast Food",387720,415224,802944
"Restaurant_88","Mumbai","Cloud Kitchen","Lebanese; Continental",330786,441232,772018
"Restaurant_14","Mumbai","Cloud Kitchen","Pan-Asian",329116,441621,770737
"Restaurant_1487","Pune","Cloud Kitchen","Mexican",352473,403409,755882
"Restaurant_325","Mumbai","Cloud Kitchen","Street Food",375552,360464,736016
"Restaurant_1229","Delhi","Cloud Kitchen","Pan-Asian",334290,399332,733622
"Restaurant_1559","Hyderabad","Cloud Kitchen","Seafood",404791,323604,728395
"Restaurant_395","Mumbai","Cloud Kitchen","North Indian",339173,389103,728276
"Restaurant_350","Mumbai","Cloud Kitchen","Korean; South Indian",380811,347353,728164
"Restaurant_340","Mumbai","Cloud Kitchen","Fast Food; Fast Food",372198,349698,721896
"Restaurant_1390","Pune","Cloud Kitchen","Desserts",346398,374888,721286
"Restaurant_2352","Jaipur","Cloud Kitchen","Vietnamese; Bakery",372721,345189,717910
"Restaurant_356","Mumbai","Cloud Kitchen","Continental",369306,345325,714631
