swiggy_commission_pct,zomato_commission_pct,restaurants,avg_swiggy_profit,avg_zomato_profit
12,12,1,176734,162284
12,13,6,129707,129741
12,14,2,85238,75786
12,15,7,117001,102401
12,16,4,69070,68139
12,17,4,84445,83936
12,18,1,28030,20608
13,12,4,91868,85044
13,13,10,142896,142520
13,14,10,81664,84848
13,15,4,143209,160099
13,16,15,116611,106081
13,17,14,115716,110160
13,18,6,115891,103964
14,12,3,86668,88693
14,13,20,118205,112936
14,14,11,95241,99935
14,15,9,75880,75187
14,16,9,82246,84516
14,17,11,104601,101322
14,18,8,88858,94277
15,12,9,117457,131797
15,13,12,95416,94632
15,14,14,120177,110018
15,15,15,90375,96041
15,16,13,111238,109374
15,17,16,109277,106417
15,18,6,103307,89806
16,12,3,129528,135652
16,13,11,105594,112169
16,14,13,80692,78924
16,15,14,112402,115564
16,16,12,98348,98304
16,17,14,124046,126344
16,18,5,79023,90815
17,12,10,96210,102568
17,13,10,89827,94347
17,14,9,106865,105663
17,15,12,93689,99390
17,16,15,91886,97232
17,17,24,93800,97289
17,18,28,119116,122064
17,19,10,136193,139601
17,20,29,124886,121868
17,21,26,117130,112824
17,22,26,140155,129295
17,23,5,134032,125664
18,12,5,107270,109753
18,13,4,100593,101619
18,14,5,75319,69375
18,15,6,60405,67152
18,16,5,108909,111105
18,17,33,116585,114044
18,18,50,127260,126388
18,19,55,126652,125762
18,20,42,120163,116072
18,21,40,106090,104667
18,22,48,125396,119126
18,23,27,118719,113338
19,17,20,103195,106352
19,18,40,128822,131579
19,19,45,129072,131206
19,20,42,121451,121878
19,21,48,106601,100634
19,22,50,122668,118574
19,23,14,127160,113338
20,17,30,91245,88000
20,18,47,111912,110007
20,19,48,119084,122289
20,20,51,107027,105140
20,21,53,126588,128873
20,22,45,116367,116843
20,23,31,112208,114915
21,17,17,125780,132148
21,18,45,106406,106252
21,19,47,113884,111856
21,20,46,115601,121399
21,21,51,108029,112824
21,22,42,104682,99772
21,23,19,114389,109743
22,17,21,76979,84150
22,18,45,119520,126808
22,19,43,109782,115878
22,20,36,104181,105044
22,21,44,119107,121956
22,22,48,128492,123118
22,23,35,141383,141603
22,24,6,139332,136067
22,25,1,35849,40584
22,26,6,187959,180515
22,27,6,257252,241986
22,28,2,164691,148360
23,17,8,86945,94659
23,18,21,112200,116940
23,19,23,116028,122782
23,20,29,118316,119130
23,21,33,116881,122661
23,22,25,122870,125853
23,23,21,175509,180539
23,24,7,187135,210246
23,25,6,182734,195800
23,26,19,147129,134827
23,27,17,207846,197733
23,28,5,296376,275416
24,22,3,159770,206919
24,23,17,164124,159078
24,24,16,147319,160288
24,25,17,227205,226092
24,26,7,125930,105937
24,27,11,182981,198661
24,28,5,266958,244210
25,22,5,129292,135636
25,23,6,256575,262652
25,24,10,220909,208265
25,25,11,197950,225645
25,26,14,137748,147549
25,27,16,143762,153550
25,28,7,170749,161048
26,22,11,169119,171687
26,23,14,123852,138954
26,24,9,186772,202215
26,25,10,208869,201814
26,26,11,169842,167320
26,27,11,140466,143385
26,28,7,153562,149280
27,22,5,100310,111283
27,23,11,201646,208879
27,24,13,164222,176462
27,25,13,166713,168699
27,26,7,151133,151947
27,27,14,131164,130959
27,28,3,144775,134045
28,22,4,166245,150623
28,23,6,194304,204264
28,24,2,185948,174953
28,25,9,173045,176028
28,26,8,131418,144568
28,27,2,145772,142395
28,28,7,207064,216495
