"restaurant_name","city","restaurant_type","swiggy_mins","zomato_mins","avg_minutes"
"Restaurant_2290","Jaipur","Fine Dine",63,60,"61.50"
"Restaurant_240","Mumbai","Fine Dine",61,61,"61.00"
"Restaurant_1771","Chennai","Qsr (Quick Service)",61,59,"60.00"
"Restaurant_319","Mumbai","Casual Dining",62,58,"60.00"
"Restaurant_1693","Hyderabad","Cafe",56,63,"59.50"
"Restaurant_2255","Ahmedabad","Fine Dine",57,62,"59.50"
"Restaurant_164","Mumbai","Qsr (Quick Service)",57,62,"59.50"
"Restaurant_470","Bangalore","Cafe",56,62,"59.00"
"Restaurant_1379","Pune","Fine Dine",62,56,"59.00"
"Restaurant_1502","Hyderabad","Cafe",54,64,"59.00"
"Restaurant_1527","Hyderabad","Casual Dining",59,59,"59.00"
"Restaurant_1815","Chennai","Qsr (Quick Service)",55,63,"59.00"
"Restaurant_736","Bangalore","Qsr (Quick Service)",66,52,"59.00"
"Restaurant_2348","Jaipur","Cloud Kitchen",62,56,"59.00"
"Restaurant_861","Bangalore","Qsr (Quick Service)",58,59,"58.50"
"Restaurant_254","Mumbai","Qsr (Quick Service)",64,53,"58.50"
"Restaurant_250","Mumbai","Qsr (Quick Service)",60,57,"58.50"
"Restaurant_2406","Lucknow","Casual Dining",58,59,"58.50"
"Restaurant_663","Bangalore","Qsr (Quick Service)",51,66,"58.50"
"Restaurant_834","Bangalore","Food Truck",61,56,"58.50"
"Restaurant_837","Bangalore","Food Truck",51,66,"58.50"
"Restaurant_1034","Delhi","Qsr (Quick Service)",59,57,"58.00"
"Restaurant_1299","Pune","Cafe",60,56,"58.00"
"Restaurant_2350","Jaipur","Cloud Kitchen",64,52,"58.00"
"Restaurant_84","Mumbai","Qsr (Quick Service)",57,59,"58.00"
"Restaurant_2004","Kolkata","Fine Dine",58,58,"58.00"
"Restaurant_2162","Ahmedabad","Cafe",57,59,"58.00"
"Restaurant_880","Delhi","Cloud Kitchen",59,57,"58.00"
"Restaurant_2090","Kolkata","Cafe",62,54,"58.00"
"Restaurant_193","Mumbai","Qsr (Quick Service)",57,59,"58.00"
"Restaurant_1109","Delhi","Fine Dine",47,68,"57.50"
"Restaurant_787","Bangalore","Qsr (Quick Service)",52,63,"57.50"
"Restaurant_159","Mumbai","Cafe",61,54,"57.50"
"Restaurant_148","Mumbai","Food Truck",56,59,"57.50"
"Restaurant_474","Bangalore","Food Truck",58,57,"57.50"
"Restaurant_1523","Hyderabad","Casual Dining",63,52,"57.50"
"Restaurant_2137","Ahmedabad","Casual Dining",58,57,"57.50"
"Restaurant_1997","Kolkata","Qsr (Quick Service)",58,57,"57.50"
"Restaurant_2186","Ahmedabad","Casual Dining",54,61,"57.50"
"Restaurant_885","Delhi","Cafe",59,56,"57.50"
"Restaurant_1400","Pune","Food Truck",60,54,"57.00"
"Restaurant_1822","Chennai","Fine Dine",62,52,"57.00"
"Restaurant_1128","Delhi","Casual Dining",59,55,"57.00"
"Restaurant_1215","Delhi","Fine Dine",60,54,"57.00"
"Restaurant_2218","Ahmedabad","Cloud Kitchen",63,51,"57.00"
"Restaurant_2258","Ahmedabad","Qsr (Quick Service)",57,57,"57.00"
"Restaurant_598","Bangalore","Qsr (Quick Service)",58,56,"57.00"
"Restaurant_541","Bangalore","Cloud Kitchen",55,59,"57.00"
"Restaurant_1377","Pune","Cloud Kitchen",58,56,"57.00"
"Restaurant_2310","Jaipur","Casual Dining",55,59,"57.00"
"Restaurant_362","Mumbai","Cloud Kitchen",50,64,"57.00"
"Restaurant_1545","Hyderabad","Cafe",56,58,"57.00"
"Restaurant_238","Mumbai","Food Truck",55,59,"57.00"
"Restaurant_918","Delhi","Cloud Kitchen",54,59,"56.50"
"Restaurant_542","Bangalore","Cloud Kitchen",57,56,"56.50"
"Restaurant_1740","Hyderabad","Cafe",55,58,"56.50"
"Restaurant_1654","Hyderabad","Cloud Kitchen",55,58,"56.50"
"Restaurant_2249","Ahmedabad","Fine Dine",57,56,"56.50"
"Restaurant_640","Bangalore","Cloud Kitchen",56,57,"56.50"
"Restaurant_572","Bangalore","Casual Dining",52,61,"56.50"
"Restaurant_1803","Chennai","Cloud Kitchen",52,61,"56.50"
"Restaurant_269","Mumbai","Cloud Kitchen",47,66,"56.50"
"Restaurant_762","Bangalore","Qsr (Quick Service)",54,59,"56.50"
"Restaurant_140","Mumbai","Food Truck",56,57,"56.50"
"Restaurant_4","Mumbai","Cloud Kitchen",56,57,"56.50"
"Restaurant_562","Bangalore","Food Truck",55,58,"56.50"
"Restaurant_1826","Chennai","Cloud Kitchen",57,55,"56.00"
"Restaurant_2459","Lucknow","Cafe",62,50,"56.00"
"Restaurant_374","Mumbai","Cloud Kitchen",57,55,"56.00"
"Restaurant_2219","Ahmedabad","Fine Dine",54,58,"56.00"
"Restaurant_660","Bangalore","Cloud Kitchen",62,50,"56.00"
"Restaurant_1573","Hyderabad","Fine Dine",56,56,"56.00"
"Restaurant_1253","Pune","Qsr (Quick Service)",51,61,"56.00"
"Restaurant_1255","Pune","Cloud Kitchen",52,60,"56.00"
"Restaurant_2156","Ahmedabad","Qsr (Quick Service)",56,56,"56.00"
"Restaurant_1158","Delhi","Cafe",57,55,"56.00"
"Restaurant_2164","Ahmedabad","Food Truck",62,50,"56.00"
"Restaurant_1050","Delhi","Casual Dining",59,53,"56.00"
"Restaurant_1770","Chennai","Food Truck",56,56,"56.00"
"Restaurant_1705","Hyderabad","Cloud Kitchen",54,58,"56.00"
"Restaurant_961","Delhi","Cloud Kitchen",56,56,"56.00"
"Restaurant_198","Mumbai","Casual Dining",55,57,"56.00"
"Restaurant_1521","Hyderabad","Cafe",57,55,"56.00"
"Restaurant_2440","Lucknow","Food Truck",54,58,"56.00"
"Restaurant_1686","Hyderabad","Qsr (Quick Service)",62,50,"56.00"
"Restaurant_1562","Hyderabad","Cafe",53,59,"56.00"
"Restaurant_435","Mumbai","Cloud Kitchen",50,62,"56.00"
"Restaurant_937","Delhi","Fine Dine",57,55,"56.00"
"Restaurant_686","Bangalore","Food Truck",54,58,"56.00"
"Restaurant_2183","Ahmedabad","Qsr (Quick Service)",57,54,"55.50"
"Restaurant_1399","Pune","Fine Dine",59,52,"55.50"
"Restaurant_1012","Delhi","Fine Dine",54,57,"55.50"
"Restaurant_2401","Lucknow","Casual Dining",54,57,"55.50"
"Restaurant_2155","Ahmedabad","Casual Dining",54,57,"55.50"
"Restaurant_1921","Chennai","Fine Dine",57,54,"55.50"
"Restaurant_1553","Hyderabad","Fine Dine",52,59,"55.50"
"Restaurant_1590","Hyderabad","Food Truck",55,56,"55.50"
"Restaurant_2392","Jaipur","Fine Dine",60,51,"55.50"
"Restaurant_2482","Lucknow","Cafe",59,52,"55.50"
"Restaurant_1643","Hyderabad","Fine Dine",56,55,"55.50"
"Restaurant_1005","Delhi","Cloud Kitchen",57,54,"55.50"
"Restaurant_2026","Kolkata","Qsr (Quick Service)",55,56,"55.50"
"Restaurant_1669","Hyderabad","Cafe",55,56,"55.50"
"Restaurant_1463","Pune","Cloud Kitchen",57,54,"55.50"
"Restaurant_2369","Jaipur","Food Truck",66,45,"55.50"
"Restaurant_1373","Pune","Qsr (Quick Service)",55,56,"55.50"
"Restaurant_1195","Delhi","Cloud Kitchen",50,61,"55.50"
"Restaurant_879","Delhi","Food Truck",53,57,"55.00"
"Restaurant_1130","Delhi","Casual Dining",52,58,"55.00"
"Restaurant_75","Mumbai","Cafe",58,52,"55.00"
"Restaurant_1662","Hyderabad","Qsr (Quick Service)",62,48,"55.00"
"Restaurant_2483","Lucknow","Fine Dine",59,51,"55.00"
"Restaurant_2124","Ahmedabad","Cafe",50,60,"55.00"
"Restaurant_1839","Chennai","Cafe",50,60,"55.00"
"Restaurant_2408","Lucknow","Fine Dine",56,54,"55.00"
"Restaurant_275","Mumbai","Food Truck",54,56,"55.00"
"Restaurant_1459","Pune","Cafe",57,53,"55.00"
"Restaurant_375","Mumbai","Cafe",54,56,"55.00"
"Restaurant_664","Bangalore","Cloud Kitchen",47,63,"55.00"
"Restaurant_410","Mumbai","Cloud Kitchen",56,54,"55.00"
"Restaurant_1287","Pune","Cafe",59,51,"55.00"
"Restaurant_2248","Ahmedabad","Food Truck",57,53,"55.00"
"Restaurant_1295","Pune","Fine Dine",52,58,"55.00"
"Restaurant_601","Bangalore","Cafe",57,53,"55.00"
"Restaurant_267","Mumbai","Qsr (Quick Service)",60,50,"55.00"
"Restaurant_964","Delhi","Fine Dine",53,57,"55.00"
"Restaurant_576","Bangalore","Casual Dining",56,54,"55.00"
"Restaurant_1721","Hyderabad","Qsr (Quick Service)",51,58,"54.50"
"Restaurant_1957","Kolkata","Casual Dining",54,55,"54.50"
"Restaurant_509","Bangalore","Fine Dine",53,56,"54.50"
"Restaurant_296","Mumbai","Qsr (Quick Service)",64,45,"54.50"
"Restaurant_607","Bangalore","Food Truck",54,55,"54.50"
"Restaurant_1647","Hyderabad","Cloud Kitchen",57,52,"54.50"
"Restaurant_852","Bangalore","Cloud Kitchen",61,48,"54.50"
"Restaurant_73","Mumbai","Cloud Kitchen",58,51,"54.50"
"Restaurant_877","Delhi","Casual Dining",49,60,"54.50"
"Restaurant_2272","Ahmedabad","Cafe",47,62,"54.50"
"Restaurant_1332","Pune","Cloud Kitchen",59,50,"54.50"
"Restaurant_591","Bangalore","Casual Dining",54,55,"54.50"
"Restaurant_1252","Pune","Casual Dining",53,56,"54.50"
"Restaurant_361","Mumbai","Cafe",60,49,"54.50"
"Restaurant_1673","Hyderabad","Qsr (Quick Service)",50,59,"54.50"
"Restaurant_701","Bangalore","Casual Dining",53,56,"54.50"
"Restaurant_1004","Delhi","Cafe",53,56,"54.50"
"Restaurant_518","Bangalore","Food Truck",52,57,"54.50"
"Restaurant_1513","Hyderabad","Cloud Kitchen",56,53,"54.50"
"Restaurant_627","Bangalore","Casual Dining",57,51,"54.00"
"Restaurant_1880","Chennai","Qsr (Quick Service)",57,51,"54.00"
"Restaurant_814","Bangalore","Qsr (Quick Service)",53,55,"54.00"
"Restaurant_111","Mumbai","Fine Dine",53,55,"54.00"
"Restaurant_2078","Kolkata","Qsr (Quick Service)",51,57,"54.00"
"Restaurant_915","Delhi","Cloud Kitchen",51,57,"54.00"
"Restaurant_1208","Delhi","Qsr (Quick Service)",54,54,"54.00"
"Restaurant_839","Bangalore","Cloud Kitchen",58,50,"54.00"
"Restaurant_2376","Jaipur","Cafe",59,49,"54.00"
"Restaurant_2294","Jaipur","Fine Dine",53,55,"54.00"
"Restaurant_318","Mumbai","Food Truck",44,64,"54.00"
"Restaurant_1642","Hyderabad","Food Truck",56,52,"54.00"
"Restaurant_847","Bangalore","Casual Dining",56,52,"54.00"
