"restaurant_type","swiggy_platform_commission_pct","avg_swiggy_profit","zomato_platform_commission_pct","avg_zomato_profit","restaurants"
"Cafe",17,"111990",17,"105772","3"
"Cafe",17,"124650",18,"125500","4"
"Cafe",17,"126080",19,"118272","3"
"Cafe",17,"95650",20,"108729","4"
"Cafe",17,"106120",21,"100321","8"
"Cafe",17,"135613",22,"117943","5"
"Cafe",17,"161884",23,"149864","2"
"Cafe",18,"109205",17,"114790","6"
"Cafe",18,"117537",18,"114857","9"
"Cafe",18,"123907",19,"124061","12"
"Cafe",18,"138422",20,"136182","14"
"Cafe",18,"103362",21,"96943","14"
"Cafe",18,"132629",22,"125164","8"
"Cafe",18,"100901",23,"100274","9"
"Cafe",19,"116267",17,"137483","6"
"Cafe",19,"146243",18,"136187","10"
"Cafe",19,"135118",19,"141895","12"
"Cafe",19,"117785",20,"110970","9"
"Cafe",19,"107267",21,"103406","16"
"Cafe",19,"101820",22,"98938","12"
"Cafe",19,"133801",23,"136806","3"
"Cafe",20,"111077",17,"113933","6"
"Cafe",20,"148771",18,"150673","10"
"Cafe",20,"103218",19,"99851","9"
"Cafe",20,"107484",20,"105772","13"
"Cafe",20,"109017",21,"110140","14"
"Cafe",20,"98531",22,"98392","10"
"Cafe",20,"70882",23,"76480","4"
"Cafe",21,"112141",17,"132431","5"
"Cafe",21,"93767",18,"103633","8"
"Cafe",21,"105954",19,"93013","9"
"Cafe",21,"117088",20,"112867","8"
"Cafe",21,"124405",21,"129755","8"
"Cafe",21,"90368",22,"88145","12"
"Cafe",21,"92349",23,"87363","4"
"Cafe",22,"74866",17,"83608","4"
"Cafe",22,"117192",18,"120420","11"
"Cafe",22,"134301",19,"148706","9"
"Cafe",22,"84019",20,"87937","15"
"Cafe",22,"123301",21,"133069","11"
"Cafe",22,"78344",22,"83819","9"
"Cafe",22,"141910",23,"144858","3"
"Cafe",23,"157882",17,"153742","2"
"Cafe",23,"173718",18,"190598","3"
"Cafe",23,"143211",19,"147109","1"
"Cafe",23,"95869",20,"94743","10"
"Cafe",23,"108314",21,"108837","8"
"Cafe",23,"82680",22,"90658","8"
"Cafe",23,"59252",23,"60714","4"
"Casual Dining",17,"91659",17,"91659","1"
"Casual Dining",17,"122055",18,"133955","7"
"Casual Dining",17,"159801",19,"168906","5"
"Casual Dining",17,"175691",20,"169455","10"
"Casual Dining",17,"111199",21,"107617","9"
"Casual Dining",17,"155526",22,"153579","11"
"Casual Dining",18,"211999",17,"179383","4"
"Casual Dining",18,"127258",18,"128257","12"
"Casual Dining",18,"162610",19,"158184","17"
"Casual Dining",18,"110830",20,"112391","11"
"Casual Dining",18,"139974",21,"132173","11"
"Casual Dining",18,"139430",22,"128819","20"
"Casual Dining",18,"143979",23,"143161","7"
"Casual Dining",19,"123184",17,"113794","4"
"Casual Dining",19,"177019",18,"190457","7"
"Casual Dining",19,"160125",19,"156684","14"
"Casual Dining",19,"155467",20,"158210","9"
"Casual Dining",19,"167141",21,"157412","7"
"Casual Dining",19,"139481",22,"124802","6"
"Casual Dining",19,"141170",23,"119897","4"
"Casual Dining",20,"144811",17,"130086","5"
"Casual Dining",20,"130238",18,"123094","8"
"Casual Dining",20,"110847",19,"116483","12"
"Casual Dining",20,"127258",20,"126087","12"
"Casual Dining",20,"147071",21,"155725","13"
"Casual Dining",20,"109309",22,"109655","17"
