"city","restaurant_type","total","avg_swiggy","avg_zomato","avg_combined"
"Bangalore","Fine Dine","63","4.12","4.07","4.09"
"Ahmedabad","Casual Dining","33","4.05","4.11","4.08"
"Lucknow","Qsr (Quick Service)","8","4.04","4.10","4.07"
"Lucknow","Cloud Kitchen","23","4.09","4.03","4.06"
"Jaipur","Qsr (Quick Service)","22","4.13","3.99","4.06"
"Chennai","Casual Dining","43","4.09","4.04","4.06"
"Jaipur","Casual Dining","20","4.05","4.06","4.06"
"Ahmedabad","Cafe","28","4.04","4.06","4.05"
"Ahmedabad","Qsr (Quick Service)","27","4.04","4.06","4.05"
"Mumbai","Qsr (Quick Service)","85","4.02","4.06","4.04"
"Hyderabad","Cloud Kitchen","47","4.01","4.08","4.04"
"Pune","Fine Dine","44","4.01","4.07","4.04"
"Mumbai","Cloud Kitchen","86","3.98","4.08","4.03"
"Pune","Cloud Kitchen","44","3.98","4.09","4.03"
"Hyderabad","Cafe","30","4.00","4.06","4.03"
"Pune","Qsr (Quick Service)","30","4.11","3.96","4.03"
"Kolkata","Food Truck","39","3.99","4.06","4.03"
"Lucknow","Casual Dining","13","3.91","4.13","4.02"
"Bangalore","Casual Dining","71","4.05","4.00","4.02"
"Jaipur","Food Truck","17","4.04","4.01","4.02"
"Bangalore","Food Truck","72","3.99","4.05","4.02"
"Kolkata","Fine Dine","31","4.03","4.00","4.01"
"Delhi","Qsr (Quick Service)","57","4.01","4.01","4.01"
"Mumbai","Food Truck","76","4.02","4.00","4.01"
"Mumbai","Fine Dine","70","3.96","4.06","4.01"
"Lucknow","Fine Dine","16","4.04","3.96","4.00"
"Hyderabad","Fine Dine","44","3.95","4.05","4.00"
"Chennai","Fine Dine","41","3.94","4.06","4.00"
"Delhi","Food Truck","64","4.05","3.94","4.00"
"Pune","Food Truck","41","3.91","4.08","4.00"
"Kolkata","Casual Dining","33","4.02","3.97","4.00"
"Jaipur","Cafe","21","3.98","4.00","3.99"
"Lucknow","Cafe","16","3.91","4.08","3.99"
"Delhi","Cloud Kitchen","64","3.98","3.99","3.99"
"Ahmedabad","Fine Dine","28","3.96","4.02","3.99"
"Kolkata","Qsr (Quick Service)","32","3.94","4.02","3.98"
"Chennai","Cloud Kitchen","35","4.00","3.96","3.98"
"Jaipur","Cloud Kitchen","15","3.92","4.05","3.98"
"Pune","Cafe","46","4.00","3.96","3.98"
"Chennai","Qsr (Quick Service)","28","3.98","3.98","3.98"
"Delhi","Cafe","61","3.98","3.99","3.98"
"Kolkata","Cafe","24","4.02","3.95","3.98"
"Mumbai","Casual Dining","64","3.98","3.97","3.98"
"Bangalore","Qsr (Quick Service)","77","3.96","4.00","3.98"
"Pune","Casual Dining","45","3.94","3.99","3.97"
"Hyderabad","Qsr (Quick Service)","48","3.95","3.99","3.97"
"Bangalore","Cloud Kitchen","77","3.94","3.99","3.96"
"Jaipur","Fine Dine","25","3.98","3.91","3.95"
"Ahmedabad","Food Truck","30","3.88","4.01","3.95"
"Delhi","Fine Dine","72","3.98","3.92","3.95"
"Delhi","Casual Dining","62","3.96","3.94","3.95"
"Mumbai","Cafe","69","3.94","3.95","3.95"
"Ahmedabad","Cloud Kitchen","14","3.98","3.93","3.95"
"Lucknow","Food Truck","24","3.88","4.00","3.94"
"Chennai","Food Truck","21","4.00","3.89","3.94"
"Bangalore","Cafe","60","3.89","3.97","3.93"
"Hyderabad","Casual Dining","30","3.98","3.84","3.91"
"Chennai","Cafe","32","3.85","3.96","3.90"
"Hyderabad","Food Truck","41","3.94","3.87","3.90"
"Kolkata","Cloud Kitchen","21","3.83","3.98","3.90"
