"restaurant_name","city","restaurant_type","swiggy_rev","zomato_rev","swiggy_lead_pct"
"Restaurant_617","Bangalore","Cloud Kitchen",148769,123784,"20.0"
"Restaurant_1772","Chennai","Food Truck",51810,42830,"20.0"
"Restaurant_581","Bangalore","Fine Dine",149260,123745,"20.0"
"Restaurant_37","Mumbai","Qsr (Quick Service)",180879,149850,"20.0"
"Restaurant_564","Bangalore","Fine Dine",64200,53332,"20.0"
"Restaurant_560","Bangalore","Cloud Kitchen",295615,244833,"20.0"
"Restaurant_368","Mumbai","Casual Dining",115838,96531,"20.0"
"Restaurant_2327","Jaipur","Casual Dining",126135,104592,"20.0"
"Restaurant_1589","Hyderabad","Fine Dine",100158,83074,"20.0"
"Restaurant_2373","Jaipur","Qsr (Quick Service)",168153,139854,"20.0"
"Restaurant_1572","Hyderabad","Qsr (Quick Service)",233284,193333,"20.0"
"Restaurant_1552","Hyderabad","Cloud Kitchen",116399,96465,"20.0"
"Restaurant_1471","Pune","Food Truck",18166,15025,"20.0"
"Restaurant_1447","Pune","Fine Dine",111430,92488,"20.0"
"Restaurant_1254","Pune","Cloud Kitchen",122757,102137,"20.0"
"Restaurant_1215","Delhi","Fine Dine",167030,138937,"20.0"
"Restaurant_985","Delhi","Qsr (Quick Service)",307288,254540,"20.0"
"Restaurant_1869","Chennai","Food Truck",93564,77375,"20.0"
"Restaurant_763","Bangalore","Food Truck",125072,103812,"20.0"
"Restaurant_179","Mumbai","Qsr (Quick Service)",109463,90870,"20.0"
"Restaurant_760","Bangalore","Food Truck",70887,58893,"20.0"
"Restaurant_738","Bangalore","Cafe",219850,182394,"20.0"
"Restaurant_684","Bangalore","Fine Dine",272486,225239,"20.0"
"Restaurant_656","Bangalore","Casual Dining",225257,186962,"20.0"
"Restaurant_621","Bangalore","Qsr (Quick Service)",90631,75198,"20.0"
"Restaurant_5","Mumbai","Cafe",220548,181279,"21.0"
"Restaurant_22","Mumbai","Fine Dine",187837,154504,"21.0"
"Restaurant_56","Mumbai","Casual Dining",51017,42000,"21.0"
"Restaurant_60","Mumbai","Cafe",49022,40323,"21.0"
"Restaurant_160","Mumbai","Qsr (Quick Service)",288755,238302,"21.0"
"Restaurant_281","Mumbai","Cafe",30914,25421,"21.0"
"Restaurant_314","Mumbai","Qsr (Quick Service)",41490,34032,"21.0"
"Restaurant_500","Bangalore","Qsr (Quick Service)",151982,125266,"21.0"
"Restaurant_547","Bangalore","Qsr (Quick Service)",321422,264139,"21.0"
