"cuisines","total","swiggy_monthly_orders","zomato_monthly_orders","total_orders","avg_rating"
"Biryani","84","17373","17254","34627","4.02"
"Street Food","80","16934","17178","34112","3.99"
"Bakery","79","16458","16142","32600","4.02"
"Mediterranean","80","15557","15390","30947","3.99"
"Korean","79","14787","14814","29601","3.98"
"Cafe","67","14411","14338","28749","4.02"
"Seafood","70","13969","13988","27957","3.93"
"North Indian","64","13474","13977","27451","4.03"
"Desserts","63","13608","13552","27160","4.00"
"Mexican","69","13375","13665","27040","3.98"
"South Indian","65","13206","13682","26888","3.97"
"Japanese","59","13103","13164","26267","3.98"
"Fast Food","60","13221","13016","26237","4.05"
"Chinese","61","12993","13009","26002","4.04"
"Continental","65","12875","12837","25712","4.02"
"Multi-Cuisine","64","12375","12589","24964","3.96"
"Lebanese","63","12459","12306","24765","4.05"
"Italian","65","11677","12166","23843","3.98"
"Mughlai","63","11542","11777","23319","3.93"
"Pan-Asian","59","11473","11559","23032","4.03"
"Thai","58","11042","11424","22466","3.94"
"Vietnamese","47","8814","8764","17578","3.95"
