restaurant_id,restaurant_name,city,locality,restaurant_type,cuisines,distance_from_city_center_km,opening_time,closing_time,days_operational,swiggy_rating,swiggy_total_reviews,zomato_rating,zomato_total_reviews,average_rating_both_platforms,avg_cost_per_person_inr,price_category,swiggy_delivery_fee_inr,zomato_delivery_fee_inr,swiggy_avg_delivery_time_minutes,zomato_avg_delivery_time_minutes,swiggy_platform_commission_pct,zomato_platform_commission_pct,swiggy_discount_frequency_pct,zomato_discount_frequency_pct,swiggy_estimated_monthly_orders,zomato_estimated_monthly_orders,swiggy_estimated_monthly_revenue_inr,zomato_estimated_monthly_revenue_inr,swiggy_estimated_net_profit_inr,zomato_estimated_net_profit_inr,swiggy_market_share_pct,zomato_market_share_pct,platform_performance_better,amenities,amenities_count,has_own_website,has_own_app,food_license_verified,listing_date,days_listed,swiggy_revenue_outlier_flag,zomato_revenue_outlier_flag,swiggy_orders_outlier_flag,zomato_orders_outlier_flag
REST000001,Restaurant_1,Mumbai,Mumbai_Locality_9,Cafe,Italian,4.1,12:00,22:00,601,3.6,722,3.2,4847,3.4,1014,Premium,40,40,35,33,21,20,15,13,140,124,112148,100588,109348,98108,50,50,Swiggy Better,Live Music; Family Friendly; Vegan Options; WiFi; Dine-in; Outdoor Seating,6,FALSE,FALSE,TRUE,04-03-2023,1168,Normal,Normal,Normal,Normal
REST000002,Restaurant_2,Mumbai,Mumbai_Locality_13,Casual Dining,Mughlai,1.9,09:00,23:00,3501,4.2,4402,3.4,1032,3.8,925,Premium,30,30,32,30,22,19,16,6,279,226,201298,169330,197113,165940,49,51,Swiggy Better,Dessert Bar; Live Music; Rooftop,3,FALSE,TRUE,TRUE,11-09-2016,3533,Normal,Normal,Normal,Normal
REST000003,Restaurant_3,Mumbai,Mumbai_Locality_12,Fine Dine,Mediterranean,2.9,08:00,23:00,1485,3.8,594,3.4,5000,3.6,1450,Luxury,34,34,34,37,14,18,15,13,137,122,170839,145058,168510,142984,42,58,Swiggy Better,Dessert Bar; Parking; Rooftop; Dine-in,4,TRUE,TRUE,FALSE,05-04-2017,3327,Normal,Normal,Normal,Normal
REST000004,Restaurant_4,Mumbai,Mumbai_Locality_19,Cloud Kitchen,Desserts,13.2,08:00,23:00,1318,3.3,3768,4.5,1180,3.9,692,Mid-Range,86,86,56,57,26,25,14,32,233,318,119314,165042,109295,151368,66,34,Zomato Better,Live Music; Outdoor Seating; Alcohol; Family Friendly; Takeaway,5,TRUE,TRUE,TRUE,28-07-2024,656,Normal,Normal,Normal,Normal
REST000005,Restaurant_5,Mumbai,Mumbai_Locality_13,Cafe,Mexican,6,11:00,23:00,1947,4.8,104,3.9,948,4.35,1249,Luxury,50,50,37,28,19,18,5,9,218,177,220548,181279,215098,176854,52,48,Swiggy Better,Rooftop; Outdoor Seating; Alcohol; Takeaway; Dessert Bar; WiFi; Smoking Area,7,TRUE,TRUE,TRUE,04-02-2022,1561,Normal,Normal,Normal,Normal
REST000006,Restaurant_6,Mumbai,Mumbai_Locality_11,Food Truck,Thai; Vietnamese,7.6,09:00,23:00,488,4,4657,4.3,655,4.15,325,Mid-Range,58,58,39,31,20,18,25,15,102,110,26520,29315,23562,26125,65,35,Zomato Better,Alcohol; Private Room; Vegan Options; AC; Live Music,5,TRUE,FALSE,FALSE,24-10-2021,1664,Normal,Normal,Normal,Normal
REST000007,Restaurant_7,Mumbai,Mumbai_Locality_8,Cloud Kitchen,Thai,3.8,07:00,22:00,1414,4,492,4,1885,4,288,Budget,39,39,40,27,23,26,16,14,286,286,63423,60952,57846,55375,56,44,Swiggy Better,Smoking Area; Vegan Options; Private Room; Family Friendly; Live Music; Bar; AC; Dessert Bar,8,TRUE,TRUE,FALSE,24-11-2018,2729,Normal,Normal,Normal,Normal
REST000008,Restaurant_8,Mumbai,Mumbai_Locality_2,Qsr (Quick Service),Mexican,10.3,07:00,22:00,2676,3.7,905,4.2,2046,3.95,542,Mid-Range,71,71,47,50,19,18,6,24,227,258,99657,114665,91599,105506,53,47,Zomato Better,Takeaway; Dine-in; Dessert Bar; Alcohol; Private Room; Smoking Area; Live Music,7,TRUE,FALSE,FALSE,03-11-2020,2019,Normal,Normal,Normal,Normal
REST000009,Restaurant_9,Mumbai,Mumbai_Locality_13,Casual Dining,Mediterranean; Fast Food,0.5,09:00,23:00,1629,3.9,4562,4.6,3996,4.25,467,Mid-Range,30,30,27,29,21,17,10,21,214,253,78951,98065,75741,94270,41,59,Zomato Better,Vegan Options; Family Friendly; Alcohol,3,TRUE,TRUE,TRUE,04-08-2020,2110,Normal,Normal,Normal,Normal
REST000010,Restaurant_10,Mumbai,Mumbai_Locality_8,Casual Dining,Chinese,6.4,08:00,22:00,2363,3.7,4791,3.7,4640,3.7,1220,Luxury,52,52,36,41,19,19,7,15,220,220,217404,217404,211684,211684,50,50,Balanced,WiFi; Family Friendly; Parking; Takeaway; Dine-in; Private Room; Bar; Alcohol,8,TRUE,FALSE,FALSE,20-10-2024,572,Normal,Normal,Normal,Normal
